uuid,type,city,pubMillis,street,x,y
569cae3a-7f57-4ef3-ba1d-63e7ff78c730,POLICE,Huelquén,1748384785000,Camino Padre Hurtado,-70.642101,-33.831435
5c25e94b-8ce4-4940-9685-147189448b7f,JAM,Paine,1748385667000,Av. Bernardo O'Higgins,-70.736465,-33.806782
a02b1889-67a5-45b5-a6d2-fade35361b31,POLICE,Huelquén,1748385609000,Camino Padre Hurtado,-70.649642,-33.815031
94cb1a5c-0a2a-4388-bf72-56c7c9086b06,HAZARD,,1748143899000,Ruta G-46,-70.77991,-33.793864
4371047f-b1a3-47c2-9528-c21434ae6118,HAZARD,,1748384876000,Ruta 79,-70.702182,-33.770183
f1926e2e-2bb4-4b98-ba68-890421101aa0,JAM,Buin,1748385032000,Camino a Villaseca,-70.753822,-33.745293
a2a337b9-6d8f-4423-9873-d61e861881c6,HAZARD,,1748386395000,Ruta 79,-70.70273,-33.756509
e7628837-f0b1-445b-ab85-a57d4caf0c35,HAZARD,Maipo,1748294861000,La Paloma,-70.782661,-33.731468
b3170302-0838-487d-b044-e2d350e7a740,HAZARD,Maipo,1748381107000,García,-70.774599,-33.729792
e4f085c6-294c-4dcc-b706-6ebdf127d9e8,HAZARD,Buin,1747929003000,Arturo Prat,-70.742728,-33.733643
e78f046d-0213-4a83-818e-6e9da0d7b723,JAM,Buin,1748386134000,Carlos Condell,-70.745718,-33.730964
9051a4ab-c669-47fa-ba2c-9163705b0252,JAM,Buin,1748385354000,Manuel Bulnes,-70.744018,-33.73171
68d4da7e-026d-4692-8a77-215d363350f8,JAM,Buin,1748385324000,Av. José Manuel Balmaceda,-70.750401,-33.731635
07ef822e-b622-4b75-a867-129e3d8ac1ed,JAM,Buin,1748386078000,Av. Estadio,-70.729396,-33.731155
53e80c5b-2422-42a4-858c-743480ae285e,HAZARD,Buin,1747424988000,Camino Buin - Alto Jahuel,-70.726031,-33.734586
59971151-8dea-4a12-ba7c-cf0235cba74f,HAZARD,,1748288462000,Av. San Antonio de Naltagua,-71.015693,-33.724712
7661570b-8972-4d7a-bd36-e02d222434b0,ACCIDENT,,1748383751000,Ruta G-412 / Camino Las Parcelas,-70.868828,-33.723361
b6de4578-8349-4475-996e-42bbf53c0588,JAM,Buin,1748385196000,Caletera al Norte,-70.725626,-33.717333
e5eccee3-90a9-484e-aded-06c883fea0e5,HAZARD,San Bernardo,1748349833000,El Romeral,-70.743116,-33.69301
bfd93190-d9d6-43d1-80c5-d50a33f20b4e,JAM,,1748385710000,,-70.723,-33.692718
568bd4be-0e65-481f-a178-021faa91ba42,HAZARD,,1748386007000,Ruta G-525 / El Recurso,-70.709642,-33.697296
ef2b76a9-17ea-4b45-b533-c47b65bd9745,HAZARD,,1748386016000,Ruta G-525 / El Recurso,-70.709287,-33.696748
f617fc40-c4fd-42df-8d1e-7947a9a1b1a0,HAZARD,Buin,1748386432000,Acceso Ruta 79 > Santiago,-70.686008,-33.686724
650791b5-e69e-4503-8356-2b0f98962d14,HAZARD,Pirque,1748385008000,Lo Arcaya,-70.576994,-33.687731
035d6282-0c15-4d52-86cc-aa41d9449876,JAM,San Bernardo,1748384550000,Camino La Capilla de Nos,-70.716246,-33.637751
8cdd38b9-09ec-4d14-80e7-a187a511c174,HAZARD,"Nos, San Bernardo",1748302447000,Camino Nos a Los Morros,-70.689287,-33.639689
48cd89a7-0b0d-47b4-91a3-1435897e97c7,HAZARD,San Bernardo,1748383954000,Av. Padre Hurtado,-70.665094,-33.6469
6ba19913-c5d1-4d13-b61d-8954d213a346,HAZARD,"Nos, San Bernardo",1748384626000,García de la Huerta,-70.712136,-33.63382
f5cd0ab2-ada0-4c08-9944-6ca162baf40d,HAZARD,"Nos, San Bernardo",1748382967000,Av. Pdte. Jorge Alessandri Rodríguez,-70.713163,-33.634871
8b1e4872-e6ee-4077-981f-1883777c00f6,JAM,San Bernardo,1748385602000,Av. Portales,-70.701825,-33.625163
88bb6ac4-cf8e-4bf3-86e7-8c1791638f31,HAZARD,San Bernardo,1747327729000,General Urrutia,-70.7,-33.61828
70d2caf6-9bc6-42a2-95aa-c3cfd09d17e4,HAZARD,San Bernardo,1748294026000,Los Canelos,-70.690303,-33.618188
ccd8542e-7b29-4837-a685-62a094277979,HAZARD,San Bernardo,1748381690000,Los Canelos,-70.69094,-33.618071
ab3171cc-dac5-4701-8f9c-9c38fb2ed3bc,HAZARD,,1748386517000,Ruta 79,-70.6452,-33.634946
